SetID	MetaSKATO_P	METASKATO_exome_wide_check	RE_ORsum	RE_ORsum_L95	RE_ORsum_U95	RE_ORsum_SE	RE_tau2	RE_het	RE_hetP	FE_ORsum	FE_ORsum_L95	FE_ORsum_U95	FE_ORsum_SE	FE_tau2	FE_het	FE_hetP	cohort1_P.value	cohort1_N.Marker.All	cohort1_N.Marker.Test	cohort1_MAC	cohort1_m	cohort1_Method.bin	cohort1_MAP	cohort1_cases_cMAC	cohort1_cases_cMAF	cohort1_controls_cMAC	cohort1_controls_cMAF	cohort1_no_of_carriers	cohort1_enrichment_ratio	cohort1_P_regression	cohort1_OR_noOfMutations	cohort1_OR_L95	cohort1_OR_U95	cohort1_eff_estimate	cohort1_eff_stdErr	cohort1_exome_wide_check	cohort2_P.value	cohort2_N.Marker.All	cohort2_N.Marker.Test	cohort2_MAC	cohort2_m	cohort2_Method.bin	cohort2_MAP	cohort2_cases_cMAC	cohort2_cases_cMAF	cohort2_controls_cMAC	cohort2_controls_cMAF	cohort2_no_of_carriers	cohort2_enrichment_ratio	cohort2_P_regression	cohort2_OR_noOfMutations	cohort2_OR_L95	cohort2_OR_U95	cohort2_eff_estimate	cohort2_eff_stdErr	cohort2_exome_wide_check	chr	start	end	gene_type	strand	additional_info1	additional_info2
Gene601	0.0510665740681784	NA	1.729	1.013	2.953	0.273	0	0.127186009538951	0.721367710639869	6.608	3.87	11.285	0.273	13.501872	71.960711610979	0	0.190251546652672	10	10	30	21	ER.A	-1	20	0.006803	10	0.003268	21	2.082	0.125378149534771	1.63	0.873	3.045	0.489	0.319	NA	0.174480897091602	10	5	11	5	ER	0.0139695197113371	9	0.004639	2	0.000971	5	4.778	0.179828684276427	2.031	0.721	5.722	0.709	0.528	NA	1	900500	901500	protein_coding	+	info601	info601
Gene1209	0.0513275403866669	NA	1.398	0.858	2.278	0.249	0	0.330006380123349	0.565655331250557	3.338	2.048	5.439	0.249	2.252937	17.5218574225768	2.84023655242605e-05	0.0245873497954014	10	9	36	13	ER.A	-1	31	0.010544	5	0.001634	13	6.453	0.154790087938872	1.553	0.847	2.847	0.44	0.309	NA	0.871548161421511	10	8	17	14	ER	1.27226799254493e-05	9	0.004639	8	0.003883	14	1.195	0.74024289198145	1.15	0.504	2.626	0.14	0.421	NA	1	1812500	1813500	protein_coding	+	info1209	info1209
Gene1290	0.0516845628483016	NA	0.702	0.424	1.164	0.258	0	0.744806499645816	0.388125521777442	0.991	0.598	1.643	0.258	1.3941	6.03845431020774	0.0139975343505521	0.0492248073754293	10	7	33	21	ER.A	-1	12	0.004082	21	0.006863	21	0.595	0.342340727901975	0.768	0.445	1.325	-0.264	0.278	NA	0.291421705980105	10	5	10	7	ER	0.00230031463167351	2	0.001031	8	0.003883	7	0.266	0.189399898825543	0.404	0.104	1.564	-0.906	0.69	NA	1	1934000	1935000	non_coding	-	info1290	info1290
Gene115	0.0533651874400863	NA	1.656	0.516	5.317	0.595	0.4064165	2.34208814360817	0.125920659875225	6.38	2.98	13.656	0.388	1.055128	4.48429450770084	0.0342076623694908	0.0107554830892332	10	6	19	15	ER	6.25638140931189e-06	15	0.005102	4	0.001307	15	3.904	0.0418897859070598	2.953	1.041	8.381	1.083	0.532	NA	0.874096110834357	10	7	12	11	ER	3.31293380713269e-05	5	0.002577	7	0.003398	11	0.758	0.849120200573791	0.898	0.295	2.731	-0.108	0.568	NA	1	171500	172500	protein_coding	+	info115	info115
Gene811	0.0534569153284017	NA	1.427	0.955	2.133	0.205	0	0.757730568293797	0.384039669913787	4.139	2.77	6.187	0.205	5.350876	59.9144559012161	9.88098491916389e-15	0.188517153788861	10	10	46	36	MA	-1	26	0.008844	20	0.006536	36	1.353	0.391515374537792	1.247	0.753	2.065	0.221	0.257	NA	0.0591915981226265	10	10	28	10	ER.A	-1	24	0.012371	4	0.001942	10	6.37	0.0820400097044741	1.807	0.928	3.52	0.592	0.34	NA	1	1215500	1216500	protein_coding	+	info811	info811
Gene80	0.0549110295352317	NA	1.632	0.882	3.019	0.314	0.0312805	1.16830140966319	0.279750530130347	4.065	2.326	7.105	0.285	2.065582	12.1136446787905	0.000500542054016062	0.0215981733135048	10	10	32	23	ER.A	-1	23	0.007823	9	0.002941	23	2.66	0.0378313854940173	2.052	1.041	4.044	0.719	0.346	NA	0.886729293421095	10	6	11	9	ER	0.000179859168308691	5	0.002577	6	0.002913	9	0.885	0.905176649484881	1.062	0.397	2.841	0.06	0.502	NA	1	119000	120000	non_coding	-	info80	info80
Gene203	0.055187825972807	NA	0.904	0.305	2.68	0.554	0.465889	4.10259654637356	0.0428174083721475	2.929	1.736	4.943	0.267	9.485889	64.1714559705916	1.11022302462516e-15	0.0280357864157953	10	10	31	15	ER.A	-1	5	0.001701	26	0.008497	15	0.2	0.0669534343269421	0.535	0.274	1.045	-0.625	0.341	NA	0.433795304874449	10	9	18	13	ER	3.59789819482341e-05	12	0.006186	6	0.002913	13	2.124	0.257939620752569	1.625	0.701	3.765	0.485	0.429	NA	1	303500	304500	protein_coding	+	info203	info203
Gene621	0.0552091870376481	NA	1.375	0.875	2.162	0.231	0.032688	1.43878571476512	0.230335939281321	3.098	2.128	4.512	0.192	0.838104	12.2502466558832	0.000465196661509681	0.00755496331037951	10	10	40	20	ER.A	-1	30	0.010204	10	0.003268	20	3.122	0.038107246943799	1.703	1.03	2.816	0.532	0.257	NA	0.930115357714419	10	9	25	15	ER.A	-1	13	0.006701	12	0.005825	15	1.15	0.809719363290554	1.072	0.61	1.883	0.069	0.288	NA	1	930500	931500	protein_coding	+	info621	info621
Gene514	0.0556176078560321	NA	0.6	0.311	1.157	0.335	0	0.883784948741845	0.347167103902409	0.921	0.478	1.775	0.335	1.3815045	4.21878960857409	0.0399786696658762	0.389284025429807	10	7	20	13	ER	2.5334112451151e-05	6	0.002041	14	0.004575	13	0.446	0.301051492029751	0.686	0.337	1.4	-0.376	0.364	NA	0.0991816575888865	10	6	15	7	ER	0.00182759203541826	1	0.000515	14	0.006796	7	0.076	0.143386480937022	0.287	0.054	1.527	-1.247	0.852	NA	1	770000	771000	non_coding	-	info514	info514
Gene163	0.0595657234969263	NA	0.502	0.256	0.986	0.344	0	0.417887612319159	0.517992970972624	1.592	0.811	3.126	0.344	2.671664	11.9293532175489	0.000552563572361553	0.0524114113333656	10	6	17	14	ER	1.90845045694462e-05	4	0.001361	13	0.004248	14	0.32	0.0751936252656203	0.385	0.135	1.102	-0.954	0.536	NA	0.431448324087975	10	7	19	15	ER	2.78912643737442e-06	6	0.003093	13	0.006311	15	0.49	0.264238254396316	0.606	0.251	1.461	-0.502	0.449	NA	1	243500	244500	protein_coding	+	info163	info163
Gene722	0.0595983591082978	NA	0.632	0.41	0.975	0.221	0	0.44661025588745	0.503949100923892	1.393	0.903	2.148	0.221	1.8919225	20.2876185136099	6.66303747320907e-06	0.0853999542961481	10	10	38	26	ER.A	-1	11	0.003741	27	0.008824	26	0.424	0.0487162576811298	0.551	0.305	0.997	-0.596	0.302	NA	0.291487104539783	10	10	24	14	ER.A	-1	8	0.004124	16	0.007767	14	0.531	0.354922418858256	0.741	0.392	1.399	-0.3	0.324	NA	1	1082000	1083000	non_coding	-	info722	info722
Gene920	0.0598107699698439	NA	0.776	0.373	1.616	0.374	0.188387	2.93453548433473	0.0867036001238223	1.373	0.926	2.035	0.201	4.5569195	47.7947494891201	4.73254768706965e-12	0.0108955916390504	10	10	53	25	MA	-1	11	0.003741	42	0.013725	25	0.273	0.015692649315039	0.561	0.351	0.897	-0.578	0.239	NA	0.753832086165206	10	10	26	22	ER.A	-1	14	0.007216	12	0.005825	22	1.239	0.632503148046427	1.194	0.577	2.473	0.178	0.371	NA	1	1379000	1380000	non_coding	-	info920	info920
Gene1063	0.0602664846536233	NA	1.593	1.018	2.492	0.229	0	0.588467369506425	0.443012390120083	6.225	3.977	9.742	0.229	1.3958815	13.1974432128486	0.000280331302107806	0.105256142444966	10	9	27	22	ER.A	-1	19	0.006463	8	0.002614	22	2.472	0.0680973440624878	2.02	0.949	4.297	0.703	0.385	NA	0.388875531981757	10	10	27	14	ER.A	-1	17	0.008763	10	0.004854	14	1.805	0.236776659224703	1.399	0.802	2.441	0.336	0.284	NA	1	1593500	1594500	protein_coding	+	info1063	info1063
Gene1314	0.060671848904138	NA	0.982	0.435	2.215	0.415	0.245443	3.43811898399706	0.0637081864425445	2.029	1.324	3.11	0.218	0.293603	3.91651849129325	0.047813802006981	0.29007991015717	10	10	28	16	ER.A	-1	19	0.006463	9	0.002941	16	2.198	0.182609436264436	1.447	0.84	2.491	0.369	0.277	NA	0.00395326295095384	10	9	26	17	ER.A	-1	8	0.004124	18	0.008738	17	0.472	0.18967161913917	0.63	0.315	1.257	-0.463	0.353	NA	1	1970000	1971000	non_coding	-	info1314	info1314
Gene276	0.0628949088156818	NA	1.29	0.147	11.293	1.107	2.180497	9.06393837300897	0.0026069985147551	3.569	1.736	7.338	0.368	0	0.0585870614383822	0.808743246873334	0.00490135776947651	10	8	22	21	ER.A	-1	17	0.005782	5	0.001634	21	3.539	0.00877455338395603	3.901	1.409	10.795	1.361	0.519	NA	0.123639494641435	10	7	16	10	ER	0.000416524630715887	3	0.001546	13	0.006311	10	0.245	0.101556191040997	0.426	0.154	1.183	-0.853	0.521	NA	1	413000	414000	non_coding	-	info276	info276
Gene475	0.0632253787931246	NA	1.573	0.64	3.862	0.458	0.2495045	2.25442182001005	0.133233209085877	6.819	4.096	11.353	0.26	34.946828	176.700492709904	0	0.113632280991299	10	7	24	14	ER.A	-1	13	0.004422	11	0.003595	14	1.23	0.739473133532305	1.103	0.62	1.963	0.098	0.294	NA	0.0419784412604745	10	10	20	11	ER	7.57600427290345e-05	17	0.008763	3	0.001456	11	6.019	0.0610517831315135	2.843	0.953	8.482	1.045	0.558	NA	1	711500	712500	protein_coding	+	info475	info475
Gene575	0.0639520061724101	NA	1.566	0.998	2.459	0.23	0	0.491163238591053	0.483408868753578	2.839	1.809	4.457	0.23	3.185308	20.1709905057101	7.08188200904125e-06	0.0400365119778939	10	9	43	26	MA	-1	30	0.010204	13	0.004248	26	2.402	0.0395433300122221	1.697	1.026	2.808	0.529	0.257	NA	0.680359662728334	10	5	10	8	ER	0.000774945138601263	5	0.002577	5	0.002427	8	1.062	0.807974502981592	1.134	0.412	3.118	0.125	0.516	NA	1	861500	862500	protein_coding	+	info575	info575
Gene690	0.0652767628551882	NA	0.893	0.325	2.459	0.517	0.434128	5.32183175709308	0.0210598620001278	1.892	1.233	2.905	0.219	0.1127545	2.122493777999	0.145150034189269	0.206127533677663	10	7	29	15	ER.A	-1	20	0.006803	9	0.002941	15	2.313	0.172447497153863	1.466	0.846	2.541	0.383	0.28	NA	0.0213766500219833	10	10	28	18	ER.A	-1	7	0.003608	21	0.010194	18	0.354	0.0630799883301146	0.522	0.263	1.036	-0.651	0.35	NA	1	1034000	1035000	non_coding	-	info690	info690
Gene324	0.0655435678262591	NA	1.303	0.573	2.964	0.419	0.1969475	2.23042201605598	0.135316883442205	3.043	1.788	5.18	0.271	0.729713	5.55885421547496	0.0183874447609945	0.0341123194799371	10	9	32	11	ER.A	-1	28	0.009524	4	0.001307	11	7.287	0.0609732355072898	1.886	0.971	3.662	0.634	0.339	NA	0.167124912480799	10	7	14	10	ER	0.000376763836416805	6	0.003093	8	0.003883	10	0.797	0.642080751595233	0.81	0.333	1.968	-0.211	0.453	NA	1	485000	486000	non_coding	-	info324	info324
Gene1015	0.0657634380699387	NA	0.552	0.293	1.041	0.324	0	0.500697373071033	0.479193862695175	1.32	0.7	2.491	0.324	0.906783	5.27274355047709	0.0216618464000843	0.535680003729829	10	5	19	16	ER	2.93968275524146e-06	7	0.002381	12	0.003922	16	0.607	0.370768751719475	0.678	0.289	1.589	-0.389	0.435	NA	0.0692107312316255	10	9	19	13	ER	1.65473243786724e-05	4	0.002062	15	0.007282	13	0.283	0.0799830030483069	0.428	0.165	1.107	-0.85	0.485	NA	1	1521500	1522500	protein_coding	+	info1015	info1015
Gene1271	0.0666011739519952	NA	0.64	0.377	1.085	0.27	0	0.129926892407323	0.718507851396822	1.234	0.727	2.092	0.27	2.9721615	17.7080024847025	2.57540865075123e-05	0.0422167992862593	10	7	30	19	ER.A	-1	8	0.002721	22	0.00719	19	0.378	0.110628158604827	0.602	0.322	1.123	-0.508	0.319	NA	0.801392603253011	10	5	12	8	ER	0.000727851811574362	4	0.002062	8	0.003883	8	0.531	0.561055167722057	0.746	0.278	2.002	-0.293	0.504	NA	1	1905500	1906500	protein_coding	+	info1271	info1271
Gene1289	0.0668147573813529	NA	1.429	0.941	2.17	0.213	0	0.333099697207581	0.563839549454099	2.348	1.547	3.566	0.213	3.178022	20.8000199369494	5.09824330063857e-06	0.0406677006273264	10	10	43	16	MA	-1	34	0.011565	9	0.002941	16	3.932	0.0770266149195952	1.512	0.956	2.391	0.413	0.234	NA	0.809830554259975	10	2	8	4	ER	0.0203139378706236	4	0.002062	4	0.001942	4	1.062	0.868198274901051	1.089	0.396	2.997	0.086	0.516	NA	1	1932500	1933500	protein_coding	+	info1289	info1289
Gene777	0.067847749569495	NA	0.633	0.395	1.013	0.24	0	0.306460314768856	0.57986044405866	1.809	1.13	2.897	0.24	0.707472	6.4527461347556	0.0110780982832703	0.70423686920113	10	7	24	23	ER.A	-1	10	0.003401	14	0.004575	23	0.743	0.51546826524253	0.763	0.338	1.723	-0.27	0.416	NA	0.0976301959409121	10	10	38	23	ER.A	-1	10	0.005155	28	0.013592	23	0.379	0.0600265430920975	0.576	0.324	1.024	-0.552	0.294	NA	1	1164500	1165500	protein_coding	+	info777	info777
Gene308	0.0684690888628428	NA	0.959	0.274	3.354	0.639	0.65596	5.05012333254096	0.0246241855306063	3.989	2.308	6.894	0.279	12.7006315	79.4180803344025	0	0.0586116339056853	10	7	32	20	ER.A	-1	7	0.002381	25	0.00817	20	0.291	0.0690485463522944	0.518	0.255	1.053	-0.657	0.361	NA	0.253301615287486	10	6	17	13	ER	1.17060863987384e-05	11	0.00567	6	0.002913	13	1.946	0.157571809102805	1.863	0.786	4.415	0.622	0.44	NA	1	461000	462000	non_coding	-	info308	info308
Gene645	0.0686727990671863	NA	0.672	0.26	1.735	0.484	0.255252	2.17027680669379	0.140700905848312	2.862	1.519	5.391	0.323	5.1807855	24.7528133417388	6.51736018486559e-07	0.0393011586075171	10	5	21	12	ER.A	-1	3	0.00102	18	0.005882	12	0.173	0.0696933491675016	0.394	0.144	1.078	-0.931	0.513	NA	0.418358884309625	10	5	11	5	ER	0.0117614426468923	6	0.003093	5	0.002427	5	1.274	0.920478863182166	1.042	0.461	2.355	0.042	0.416	NA	1	966500	967500	protein_coding	+	info645	info645
Gene882	0.0690797243364896	NA	1.15	0.373	3.547	0.574	0.512218	4.46368231535171	0.0346227842782891	2.867	1.683	4.885	0.272	0.0614220000000001	1.41534326238737	0.234171402524396	0.0256442356450857	10	8	26	20	ER.A	-1	19	0.006463	7	0.002288	20	2.825	0.0657866413209951	2.053	0.954	4.416	0.719	0.391	NA	0.443502272180428	10	8	15	7	ER	0.00146598152174197	5	0.002577	10	0.004854	7	0.531	0.256209091121643	0.651	0.31	1.366	-0.43	0.378	NA	1	1322000	1323000	non_coding	-	info882	info882
Gene992	0.0698429324164801	NA	0.571	0.167	1.958	0.629	0.4096525	1.85559595816137	0.173133951510204	4.017	1.889	8.541	0.385	5.681258	12.8658164714532	0.000334638863163317	0.0291833260857311	10	5	16	8	ER	0.00150447845547173	1	0.00034	15	0.004902	8	0.069	0.099731878062824	0.235	0.042	1.318	-1.448	0.88	NA	0.9361059214442	10	6	15	10	ER	0.000109905939563779	6	0.003093	9	0.004369	10	0.708	0.787718996024448	0.891	0.385	2.062	-0.115	0.428	NA	1	1487000	1488000	non_coding	-	info992	info992
Gene1136	0.071450210779373	NA	0.591	0.344	1.014	0.276	0	0.00637772017602027	0.93634810272475	1.207	0.703	2.072	0.276	1.9333105	12.6541714389053	0.000374728631173937	0.154470414106001	10	10	28	17	ER.A	-1	7	0.002381	21	0.006863	17	0.347	0.115092986270141	0.581	0.296	1.141	-0.543	0.344	NA	0.316603445975703	10	9	14	10	ER	0.000157728799082991	4	0.002062	10	0.004854	10	0.425	0.282485905660438	0.608	0.246	1.506	-0.497	0.462	NA	1	1703000	1704000	non_coding	-	info1136	info1136
Gene62	0.0724587355267193	NA	0.631	0.266	1.499	0.441	0.2551455	2.81076899602213	0.0936334821539696	1.261	0.778	2.043	0.246	0.33636	3.38714874258807	0.0657064811999543	0.895072657461215	10	10	32	25	ER.A	-1	14	0.004762	18	0.005882	25	0.81	0.803996920942196	0.929	0.52	1.661	-0.074	0.297	NA	0.0226344737147217	10	10	29	17	ER.A	-1	5	0.002577	24	0.01165	17	0.221	0.028395295505902	0.381	0.161	0.903	-0.964	0.44	NA	1	92000	93000	non_coding	-	info62	info62
Gene128	0.0737814460695165	NA	0.787	0.473	1.309	0.259	0	0.0879980408599438	0.766737828273364	1.99	1.197	3.307	0.259	2.0555715	16.2543653944625	5.53818444019027e-05	0.26582662046618	10	7	28	24	ER.A	-1	11	0.003741	17	0.005556	24	0.673	0.383440786706582	0.731	0.362	1.478	-0.313	0.359	NA	0.0183395030588144	10	8	17	11	ER	9.09862663852558e-05	8	0.004124	9	0.004369	11	0.944	0.671873848203864	0.853	0.409	1.78	-0.159	0.375	NA	1	191000	192000	non_coding	-	info128	info128
Gene1196	0.0744403450607014	NA	1.759	0.684	4.524	0.482	0.265723	2.33579489757446	0.126430437568181	6.159	3.32	11.428	0.315	1.0319555	6.18766117883624	0.012864409526662	0.022916641622987	10	9	26	22	ER.A	-1	20	0.006803	6	0.001961	22	3.469	0.0183704524274238	2.842	1.193	6.77	1.044	0.443	NA	0.776615784645429	10	7	12	7	ER	0.00233168961389877	6	0.003093	6	0.002913	7	1.062	0.858378651927798	1.083	0.449	2.613	0.08	0.449	NA	1	1793000	1794000	non_coding	-	info1196	info1196
Gene1137	0.0744799313484847	NA	0.536	0.286	1.006	0.321	0	0.877021120247311	0.349018870626859	0.806	0.43	1.512	0.321	1.2415955	4.14610726095605	0.0417303546274866	0.292650417833741	10	9	32	27	ER.A	-1	11	0.003741	21	0.006863	27	0.545	0.155944706553549	0.61	0.308	1.208	-0.495	0.349	NA	0.153465639112195	10	4	10	10	ER	0.000135324807903544	2	0.001031	8	0.003883	10	0.266	0.104097857180714	0.265	0.054	1.314	-1.327	0.817	NA	1	1704500	1705500	protein_coding	+	info1137	info1137
Gene877	0.074567173693168	NA	1.491	0.988	2.249	0.21	0	0.187209406965234	0.665249423932653	2.844	1.885	4.292	0.21	70.8531480000001	171.028852026277	0	0.0988360995236294	10	10	45	20	MA	-1	32	0.010884	13	0.004248	20	2.562	0.0805393508394861	1.458	0.955	2.225	0.377	0.216	NA	0.364250508395684	10	3	6	6	ER	0.006090287480621	4	0.002062	2	0.000971	6	2.124	0.384582669318645	2.163	0.38	12.316	0.772	0.887	NA	1	1314500	1315500	protein_coding	+	info877	info877
Gene776	0.0747677946675924	NA	1.418	0.884	2.274	0.241	0.037808	1.4795748162336	0.223841058093766	4.695	3.186	6.917	0.198	4.810228	62.0152404026054	3.44169137633799e-15	0.461062177095194	10	8	35	26	ER.A	-1	19	0.006463	16	0.005229	26	1.236	0.649452324050364	1.13	0.668	1.912	0.122	0.268	NA	0.0506506159156072	10	9	32	14	ER.A	-1	25	0.012887	7	0.003398	14	3.793	0.0389040641661611	1.831	1.031	3.249	0.605	0.293	NA	1	1163000	1164000	non_coding	-	info776	info776
Gene1025	0.0750656565249374	NA	0.616	0.378	1.003	0.249	0	0.0308920547204951	0.86048142936728	1.093	0.672	1.781	0.249	2.240416	15.4129641125932	8.63935542102512e-05	0.131715145986972	10	10	37	25	ER.A	-1	12	0.004082	25	0.00817	25	0.5	0.0803069158520481	0.6	0.338	1.064	-0.511	0.292	NA	0.60172919859148	10	6	12	9	ER	0.000798297541213224	4	0.002062	8	0.003883	9	0.531	0.384449139155451	0.662	0.261	1.678	-0.413	0.475	NA	1	1536500	1537500	protein_coding	+	info1025	info1025
Gene413	0.075885448862314	NA	1.294	0.862	1.942	0.207	0	0.872725811313172	0.350201792577635	2.997	1.997	4.5	0.207	8.9153395	72.6595157239023	0	0.22872144672442	10	8	33	17	ER.A	-1	19	0.006463	14	0.004575	17	1.413	0.51275210915798	1.166	0.736	1.849	0.154	0.235	NA	0.00778068624919404	10	5	14	7	ER	0.00101892929331627	10	0.005155	4	0.001942	7	2.654	0.158728735863826	1.859	0.785	4.406	0.62	0.44	NA	1	618500	619500	protein_coding	+	info413	info413
Gene388	0.0761950687686864	NA	1.652	0.967	2.823	0.273	0	0.0209797024652445	0.884834264680021	6.142	3.595	10.495	0.273	7.18943	44.7892589039636	2.19423368363891e-11	0.0819293474665587	10	8	27	19	ER.A	-1	18	0.006122	9	0.002941	19	2.082	0.162482340473765	1.605	0.826	3.116	0.473	0.339	NA	0.408072863898755	10	8	20	17	ER	7.31204136658728e-07	13	0.006701	7	0.003398	17	1.972	0.22846568535627	1.743	0.706	4.308	0.556	0.462	NA	1	581000	582000	non_coding	-	info388	info388
Gene1186	0.0765464478244725	NA	1.035	0.582	1.841	0.294	0.094247	2.19868998410175	0.138128080862688	2.68	1.821	3.944	0.197	3.719143	48.3022957074722	3.65318886252908e-12	0.410228497750627	10	9	32	17	ER.A	-1	12	0.004082	20	0.006536	17	0.625	0.354446581757998	0.782	0.465	1.315	-0.245	0.265	NA	0.0188017272535477	10	10	30	20	ER.A	-1	19	0.009794	11	0.00534	20	1.834	0.2446317155921	1.409	0.791	2.511	0.343	0.295	NA	1	1778000	1779000	non_coding	-	info1186	info1186
Gene1227	0.0771186214692758	NA	0.651	0.371	1.141	0.287	0	0.795156587554575	0.372545426984707	1.874	1.068	3.287	0.287	2.907238	18.5682504192286	1.639281875776e-05	0.0737686067635048	10	10	21	14	ER.A	-1	5	0.001701	16	0.005229	14	0.325	0.0942288130457963	0.494	0.216	1.128	-0.706	0.422	NA	0.24186417923452	10	9	19	14	ER	1.91346135735411e-05	8	0.004124	11	0.00534	14	0.772	0.620779251134034	0.824	0.383	1.773	-0.193	0.391	NA	1	1839500	1840500	protein_coding	+	info1227	info1227
Gene164	0.0775656180283584	NA	1.631	0.887	2.998	0.311	0.0659425	1.42863782322123	0.231986875131778	6.334	3.953	10.149	0.241	19.45248	127.444534002418	0	0.42905387948047	10	9	36	27	ER.A	-1	22	0.007483	14	0.004575	27	1.636	0.327437112888369	1.313	0.761	2.267	0.273	0.278	NA	0.0741613907696976	10	7	20	17	ER	2.36760798357316e-07	14	0.007216	6	0.002913	17	2.477	0.0513380995244504	2.549	0.995	6.535	0.936	0.48	NA	1	245000	246000	non_coding	-	info164	info164
Gene1109	0.0792587157391577	NA	1.283	0.857	1.92	0.206	0	0.660642144440085	0.416333333660479	2.543	1.699	3.805	0.206	1.2884755	14.6622750744892	0.00012859443882185	0.0352538484114327	10	9	39	24	ER.A	-1	27	0.009184	12	0.003922	24	2.342	0.144594321549921	1.446	0.881	2.373	0.369	0.253	NA	0.877709316060053	10	8	20	13	ER	8.5999830681011e-06	9	0.004639	11	0.00534	13	0.869	0.962782477468096	1.017	0.509	2.032	0.016	0.353	NA	1	1662500	1663500	protein_coding	+	info1109	info1109
Gene582	0.0798895746841208	NA	0.588	0.338	1.021	0.282	0	0.0464327668572324	0.829391047763753	0.949	0.546	1.649	0.282	2.454412	10.6108230871642	0.00112427632224099	0.154746549494945	10	9	32	22	ER.A	-1	10	0.003401	22	0.00719	22	0.473	0.109777313997619	0.605	0.327	1.12	-0.502	0.314	NA	0.438163571719888	10	6	11	9	ER	0.000498101579546522	3	0.001546	8	0.003883	9	0.398	0.306907356603573	0.519	0.148	1.826	-0.656	0.642	NA	1	872000	873000	non_coding	-	info582	info582
Gene295	0.0799890954253002	NA	0.616	0.369	1.031	0.262	0	0.358017035073724	0.549609591203287	1.004	0.6	1.679	0.262	1.333447	7.86264892823139	0.00504664034245972	0.342741690611544	10	10	28	16	ER.A	-1	9	0.003061	19	0.006209	16	0.493	0.183349975338652	0.672	0.374	1.207	-0.398	0.299	NA	0.239065106358168	10	10	19	14	ER	4.14381213994724e-06	4	0.002062	15	0.007282	14	0.283	0.158167426204923	0.462	0.158	1.35	-0.771	0.547	NA	1	441500	442500	protein_coding	+	info295	info295
Gene178	0.0815904182522972	NA	1.587	0.779	3.235	0.363	0.141858	1.92221879113914	0.165612268391353	4.343	2.85	6.619	0.215	23.4308895	153.324201595995	0	0.546558665883613	10	10	46	33	MA	-1	26	0.008844	20	0.006536	33	1.353	0.392467409885032	1.226	0.769	1.956	0.204	0.238	NA	0.056343536737978	10	8	20	11	ER	0.000103530410442023	17	0.008763	3	0.001456	11	6.019	0.0521736420381727	2.647	0.991	7.072	0.973	0.501	NA	1	266000	267000	non_coding	-	info178	info178
Gene99	0.0834296658628352	NA	0.651	0.408	1.04	0.239	0	0.00558792625847742	0.940411688734226	1.166	0.73	1.861	0.239	1.6898635	13.4166109466043	0.000249405885124676	0.186392226545566	10	10	39	29	ER.A	-1	14	0.004762	25	0.00817	29	0.583	0.143659087505182	0.659	0.377	1.152	-0.417	0.285	NA	0.404891777702313	10	9	18	8	ER	0.00112250773953544	3	0.001546	15	0.007282	8	0.212	0.297472185823548	0.634	0.269	1.494	-0.456	0.437	NA	1	147500	148500	protein_coding	+	info99	info99
Gene94	0.0836359304870133	NA	0.988	0.564	1.73	0.286	0.0388105	1.26913981775565	0.259928111532833	2.442	1.513	3.94	0.244	7.0719985	50.0423052384849	1.50468526527447e-12	0.0550128886113224	10	9	24	13	ER.A	-1	9	0.003061	15	0.004902	13	0.624	0.458196705727965	0.807	0.457	1.423	-0.215	0.29	NA	0.687928489089412	10	7	15	11	ER	3.9455287836892e-05	9	0.004639	6	0.002913	11	1.593	0.388618530360844	1.477	0.609	3.584	0.39	0.452	NA	1	140000	141000	non_coding	-	info94	info94
Gene1237	0.0843062973963552	NA	1.732	0.983	3.051	0.289	0	0.000852766226246251	0.976703357479416	6.536	3.71	11.516	0.289	8.0315425	43.2779517818603	4.74904560121558e-11	0.163063758365507	10	6	26	18	ER.A	-1	18	0.006122	8	0.002614	18	2.342	0.115195648370562	1.741	0.873	3.472	0.555	0.352	NA	0.476311339031237	10	7	14	10	ER	0.000160523964617666	10	0.005155	4	0.001942	10	2.654	0.288291047586325	1.711	0.635	4.61	0.537	0.506	NA	1	1854500	1855500	protein_coding	+	info1237	info1237
Gene133	0.0847591151647981	NA	1.668	0.991	2.809	0.266	0	0.13443521301043	0.71387706469517	6.824	4.053	11.487	0.266	3.0362955	22.4692982146014	2.13529352655062e-06	0.120287025605797	10	10	22	14	ER.A	-1	16	0.005442	6	0.001961	14	2.775	0.109500291264996	1.845	0.871	3.908	0.613	0.383	NA	0.405844144098644	10	10	29	25	ER.A	-1	17	0.008763	12	0.005825	25	1.504	0.257771357800767	1.519	0.736	3.134	0.418	0.369	NA	1	198500	199500	protein_coding	+	info133	info133
Gene603	0.0854781035685841	NA	1.22	0.75	1.984	0.248	0.0287755	1.25645470344459	0.262323235214329	2.96	1.954	4.483	0.212	7.206933	65.230052136714	6.66133814775094e-16	0.105454323876763	10	9	37	24	ER.A	-1	19	0.006463	18	0.005882	24	1.099	0.911608887424262	1.028	0.63	1.676	0.028	0.249	NA	0.185453556074527	10	8	23	12	ER.A	-1	18	0.009278	5	0.002427	12	3.823	0.165756248419226	1.749	0.793	3.854	0.559	0.403	NA	1	903500	904500	protein_coding	+	info603	info603
